clust_anal_raw,clust_anal_ht,clust_anal_info
['No'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['Unclear'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Unclear'],NA,NA
['Unclear'],NA,NA
['Unclear'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Unclear'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 47:\n[¬s]""A multilevel statistical analysis was performed to estimate the treatment impact and to answer the confirmatory research question. Student data were analyzed as part of the experimental group to which they were originally assigned. [¬e]""']",NA
['No'],NA,NA
['Yes'],"['Page 12:\n[¬s]""group dif-\nferences were modeled with multilevel techniques,\nwhere students were nested within schools and\nmeasurement occasions were nested within stu-\ndents in schools as appropriate[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Unclear'],NA,NA
['Yes'],"['Page 9:\n[¬s]""School, teacher,\nsex, and treatment served as factors[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 6:\n[¬s]""the blocking factor was teacher trainer (1 vs. 2 vs. 3)[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 25:\n[¬s]""The random assignment of teachers to treatment conditions and the measurement of individual student achievement in writing resulted in a model in which the independent variable was at the classroom level and the dependent variable was at the student level. Hierarchical linear modeling (two levels) was used to partition the variance into effects to account for this nesting of students within classes (Hox, 2002; Raudenbush & Bryk, 2002).[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 15:\n[¬s]""The analysis was performed using a two-level model to account for the cluster randomisation[¬e]""']",NA
NA,NA,NA
NA,NA,NA
['No'],NA,Not explicitly mentioned
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 13:\n[¬s]""Analysis was conducted in Stata using a mixed model with school as a random component to account for school level clustering.[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 65:\n[¬s]""hierarchical linear models (HLM, Bryk, A., & Raudenbush, S., 1992) are used to conduct an analysis of growth over time for children in the T vs. C and T vs. O groups. HLM accounts for clustering of observations within people and provides correct standard errors used to test all hypotheses.[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 18:\n[¬s]""To account for the clustering of pupils within schools, a Huber-White adjustment was made to the estimated standard errors[¬e]""']",NA
['No'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
